name;adresse;plz;stadtSlug;telefon;email;website
Mustermann Steuerberatung GmbH;Hauptstraße 1;1010;wien;+43 1 123 456;office@mustermann.at;https://mustermann.at
Steuerberater Gruber;Herrengasse 5;8010;graz;+43 316 789 012;gruber@stb-graz.at;
Kanzlei Dr. Schneider & Partner;Kärntner Ring 12;1010;wien;+43 1 234 567;info@schneider-stb.at;https://schneider-stb.at
Mag. Elisabeth Wagner Steuerberatung;Mariahilfer Straße 88;1070;wien;+43 1 345 678;wagner@stb-wagner.at;https://stb-wagner.at
Steuerberatung Hofer GmbH;Wiedner Hauptstraße 42;1040;wien;+43 1 456 789;office@hofer-stb.at;https://hofer-steuerberatung.at
Dr. Thomas Berger Wirtschaftstreuhand;Rotenturmstraße 27;1010;wien;+43 1 567 890;berger@wtberger.at;https://wtberger.at
Kanzlei Müller & Söhne;Favoritenstraße 16;1100;wien;+43 1 678 901;kontakt@mueller-soehne.at;https://mueller-soehne.at
Mag. Anna Huber Steuerberatung;Landstraßer Hauptstraße 5;1030;wien;+43 1 789 012;huber@stb-huber.at;
Steuerberatung Pichler OG;Währinger Straße 63;1090;wien;+43 1 890 123;office@pichler-stb.at;https://pichler-stb.at
Wirtschaftskanzlei Fischer;Josefstädter Straße 11;1080;wien;+43 1 901 234;fischer@wk-fischer.at;https://wk-fischer.at
Kanzlei Dr. Maier Steuerberatung;Herrengasse 28;8010;graz;+43 316 234 567;maier@stb-maier.at;https://stb-maier.at
Mag. Stefan Eder & Partner;Annenstraße 53;8020;graz;+43 316 345 678;eder@eder-partner.at;https://eder-partner.at
Steuerberatung Winkler GmbH;Jakominiplatz 7;8010;graz;+43 316 456 789;office@winkler-stb.at;https://winkler-stb.at
Dr. Claudia Reiter Wirtschaftstreuhand;Leonhardstraße 15;8010;graz;+43 316 567 890;reiter@wt-reiter.at;https://wt-reiter.at
Kanzlei Bauer & Kollegen;Münzgrabenstraße 36;8010;graz;+43 316 678 901;info@bauer-kollegen.at;https://bauer-kollegen.at
Mag. Markus Koller Steuerberatung;Grazbachgasse 41;8010;graz;+43 316 789 012;koller@stb-koller.at;
Wirtschaftskanzlei Steiner;Elisabethstraße 22;8010;graz;+43 316 890 123;steiner@wk-steiner.at;https://wk-steiner.at
